,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),남교사 수,6학년 학생 수,방과후_학생 _수
2,진로,194,서울시 영등포구 당산동1가,1156011100,16-1,서울시 영등포구 당산로 68,37.520755,126.8963,461,0,23,21,353,24,551,진로건설,HT001,194.66,162.21,83,5,2,84,계단식,1036800,1827540,207360,583380,0,0,0,,357960,364246,,15억,,9억,,,,,서울문래초등학교,B100001224,서울특별시 영등포구 문래동3가 77-7번지,혁신,단설,19850710,서울특별시교육청,http://mullae.sen.es.kr,20230531,24.9,25.0,585,541,20230531,7,69,7,8,7,7,8,7,168,194,166,193,216,,1,10,44,1126,3,2,0,0,20230531,5,,0,0.0,20230531,직영,3417,1243,1093115000,37.51865195,126.89330282,1156012100,서울시,19.8,17.4,영등포구,19.6,16.9,5,,179.0,230.0
0,트러스트,23A㎡,서울시 영등포구 당산동1가,1156011100,14-6,서울시 영등포구 영등포로 148,37.520822,126.897784,16,0,10,5,299,51,8,(주)대준,HT001,23.22,16.41,71,1,1,8,계단식,,,,,,,,,,,,,,,,,,,서울문래초등학교,B100001224,서울특별시 영등포구 문래동3가 77-7번지,혁신,단설,19850710,서울특별시교육청,http://mullae.sen.es.kr,20230531,24.9,25.0,585,541,20230531,7,69,7,8,7,7,8,7,168,194,166,193,216,,1,10,44,1126,3,2,0,0,20230531,5,,0,0.0,20230531,직영,3417,1243,1093115000,37.51865195,126.89330282,1156012100,서울시,19.8,17.4,영등포구,19.6,16.9,9,,179.0,230.0
1,트러스트,23B,서울시 영등포구 당산동1가,1156011100,14-6,서울시 영등포구 영등포로 148,37.520822,126.897784,16,0,10,5,299,51,8,(주)대준,HT001,23.56,16.8,71,1,1,8,계단식,,,,,,,,,,,,,,,,,,,서울문래초등학교,B100001224,서울특별시 영등포구 문래동3가 77-7번지,혁신,단설,19850710,서울특별시교육청,http://mullae.sen.es.kr,20230531,24.9,25.0,585,541,20230531,7,69,7,8,7,7,8,7,168,194,166,193,216,,1,10,44,1126,3,2,0,0,20230531,5,,0,0.0,20230531,직영,3417,1243,1093115000,37.51865195,126.89330282,1156012100,서울시,19.8,17.4,영등포구,19.6,16.9,9,,179.0,230.0
0,파비앵,36㎡,서울시 영등포구 당산동1가,1156011100,186-106,서울시 영등포구 영신로43길 16-7,37.522596,126.89956,56,0,7,3,243,55,32,주식회사바른종합건설,HT001,36.75,29.49,80,1,1,4,복도식,,,,,,,,,,,,,,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226,211,20230531,3,33,4,4,3,3,4,3,77,80,68,58,77,,2,5,21,437,1,5,0,0,20230531,9,,0,0.0,20230531,직영,3447,461,425307000,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,7,,72.0,109.0
1,파비앵,39D㎡,서울시 영등포구 당산동1가,1156011100,186-106,서울시 영등포구 영신로43길 16-7,37.522596,126.89956,56,0,7,3,243,55,32,주식회사바른종합건설,HT001,39.83,29.89,75,1,1,8,복도식,,,,,,,,,,,,"3억 2,000",,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226,211,20230531,3,33,4,4,3,3,4,3,77,80,68,58,77,,2,5,21,437,1,5,0,0,20230531,9,,0,0.0,20230531,직영,3447,461,425307000,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,7,,72.0,109.0
2,파비앵,39C㎡,서울시 영등포구 당산동1가,1156011100,186-106,서울시 영등포구 영신로43길 16-7,37.522596,126.89956,56,0,7,3,243,55,32,주식회사바른종합건설,HT001,39.69,29.79,75,1,1,4,복도식,,,,,,,,,,,,,,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226,211,20230531,3,33,4,4,3,3,4,3,77,80,68,58,77,,2,5,21,437,1,5,0,0,20230531,9,,0,0.0,20230531,직영,3447,461,425307000,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,7,,72.0,109.0
3,파비앵,40E㎡,서울시 영등포구 당산동1가,1156011100,186-106,서울시 영등포구 영신로43길 16-7,37.522596,126.89956,56,0,7,3,243,55,32,주식회사바른종합건설,HT001,40.94,29.91,73,1,1,8,복도식,,,,,,,,,,,,"3억 3,000",,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226,211,20230531,3,33,4,4,3,3,4,3,77,80,68,58,77,,2,5,21,437,1,5,0,0,20230531,9,,0,0.0,20230531,직영,3447,461,425307000,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,7,,72.0,109.0
4,파비앵,40F㎡,서울시 영등포구 당산동1가,1156011100,186-106,서울시 영등포구 영신로43길 16-7,37.522596,126.89956,56,0,7,3,243,55,32,주식회사바른종합건설,HT001,40.75,29.94,73,1,1,8,복도식,,,,,,,,,,,,,,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226,211,20230531,3,33,4,4,3,3,4,3,77,80,68,58,77,,2,5,21,437,1,5,0,0,20230531,9,,0,0.0,20230531,직영,3447,461,425307000,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,7,,72.0,109.0
5,파비앵,40B㎡,서울시 영등포구 당산동1가,1156011100,186-106,서울시 영등포구 영신로43길 16-7,37.522596,126.89956,56,0,7,3,243,55,32,주식회사바른종합건설,HT001,40.35,29.64,73,1,1,4,복도식,,,,,,,,,,,,,,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226,211,20230531,3,33,4,4,3,3,4,3,77,80,68,58,77,,2,5,21,437,1,5,0,0,20230531,9,,0,0.0,20230531,직영,3447,461,425307000,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,7,,72.0,109.0
6,파비앵,41G㎡,서울시 영등포구 당산동1가,1156011100,186-106,서울시 영등포구 영신로43길 16-7,37.522596,126.89956,56,0,7,3,243,55,32,주식회사바른종합건설,HT001,41.04,29.98,73,1,1,8,복도식,,,,,,,,,,,,3억,,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226,211,20230531,3,33,4,4,3,3,4,3,77,80,68,58,77,,2,5,21,437,1,5,0,0,20230531,9,,0,0.0,20230531,직영,3447,461,425307000,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,7,,72.0,109.0
