,case_number,property_type,auction_date,percentage,result,auction_count,appraised_value,minimum_bid_price,sale_price,sale_rate,number_of_bidders,land_m2,land_pyung,building_m2_x,building_pyung,image,full_address_jibun,b_code,h_code,region1,region2,region3,main_address_no,sub_address_no,apartment_block,floor,room,full_address_road,building_name,road_name_x,main_building_no,sub_building_no,postcode,latitude,longitude,apartment_name,building_m2_y,construction_year,contract_price,contract_year,contract_month,contract_date,contract_type,contract_date_full,date_difference
967,2021-1272(1),아파트,2022-04-11,80,배당종결,1,1,1,1,96,7,46.18,13.97,84.94,25.69,http://img1.speedauction.co.kr/new_gamimg/2022/A02/2021/1272/283532.jpg,서울 강동구 고덕동 688,1174010200,1174055000,서울,강동구,고덕동,688,,306동,3.0,304,서울 강동구 아리수로50길 50,래미안힐스테이트고덕,아리수로50길,50,,05229,37.5589494593044,127.147082524967,래미안힐스테이트고덕,84.74,2016.0,150,2023,7,20,중개거래,2023-07-20,-465 days
968,2021-1272(1),아파트,2022-04-11,80,배당종결,1,1,1,1,96,7,46.18,13.97,84.94,25.69,http://img1.speedauction.co.kr/new_gamimg/2022/A02/2021/1272/283532.jpg,서울 강동구 고덕동 688,1174010200,1174055000,서울,강동구,고덕동,688,,306동,3.0,304,서울 강동구 아리수로50길 50,래미안힐스테이트고덕,아리수로50길,50,,05229,37.5589494593044,127.147082524967,래미안힐스테이트고덕,84.83,2016.0,151,2020,12,6,,2020-12-06,491 days
969,2021-1272(1),아파트,2022-04-11,80,배당종결,1,1,1,1,96,7,46.18,13.97,84.94,25.69,http://img1.speedauction.co.kr/new_gamimg/2022/A02/2021/1272/283532.jpg,서울 강동구 고덕동 688,1174010200,1174055000,서울,강동구,고덕동,688,,306동,3.0,304,서울 강동구 아리수로50길 50,래미안힐스테이트고덕,아리수로50길,50,,05229,37.5589494593044,127.147082524967,래미안힐스테이트고덕,72.02,2016.0,148,2021,7,10,,2021-07-10,275 days
970,2021-1272(1),아파트,2022-04-11,80,배당종결,1,1,1,1,96,7,46.18,13.97,84.94,25.69,http://img1.speedauction.co.kr/new_gamimg/2022/A02/2021/1272/283532.jpg,서울 강동구 고덕동 688,1174010200,1174055000,서울,강동구,고덕동,688,,306동,3.0,304,서울 강동구 아리수로50길 50,래미안힐스테이트고덕,아리수로50길,50,,05229,37.5589494593044,127.147082524967,래미안힐스테이트고덕,59.35,2016.0,137,2021,7,29,,2021-07-29,256 days
971,2021-50915(1),아파트,2022-04-11,100,배당종결,0,1,1,1,100,1,70.11,21.21,170.7,51.64,http://img1.speedauction.co.kr/new_gamimg/2022/A02/2021/50915/31957_AUTO_204.jpg,서울 송파구 문정동 1,1171010800,1171064100,서울,송파구,문정동,1,,114동,17.0,1701,서울 송파구 문정로 83,문정래미안아파트,문정로,83,,05794,37.4906216221509,127.130293454812,문정래미안,84.96,2004.0,137,2023,5,27,중개거래,2023-05-27,-411 days
972,2021-50915(1),아파트,2022-04-11,100,배당종결,0,1,1,1,100,1,70.11,21.21,170.7,51.64,http://img1.speedauction.co.kr/new_gamimg/2022/A02/2021/50915/31957_AUTO_204.jpg,서울 송파구 문정동 1,1171010800,1171064100,서울,송파구,문정동,1,,114동,17.0,1701,서울 송파구 문정로 83,문정래미안아파트,문정로,83,,05794,37.4906216221509,127.130293454812,문정래미안,169.48,2004.0,190,2023,7,1,중개거래,2023-07-01,-446 days
973,2021-50915(1),아파트,2022-04-11,100,배당종결,0,1,1,1,100,1,70.11,21.21,170.7,51.64,http://img1.speedauction.co.kr/new_gamimg/2022/A02/2021/50915/31957_AUTO_204.jpg,서울 송파구 문정동 1,1171010800,1171064100,서울,송파구,문정동,1,,114동,17.0,1701,서울 송파구 문정로 83,문정래미안아파트,문정로,83,,05794,37.4906216221509,127.130293454812,문정래미안,170.7,2004.0,223,2022,6,14,직거래,2022-06-14,-64 days
974,2021-50915(1),아파트,2022-04-11,100,배당종결,0,1,1,1,100,1,70.11,21.21,170.7,51.64,http://img1.speedauction.co.kr/new_gamimg/2022/A02/2021/50915/31957_AUTO_204.jpg,서울 송파구 문정동 1,1171010800,1171064100,서울,송파구,문정동,1,,114동,17.0,1701,서울 송파구 문정로 83,문정래미안아파트,문정로,83,,05794,37.4906216221509,127.130293454812,문정래미안,84.96,2004.0,135,2020,9,19,,2020-09-19,569 days
975,2021-50915(1),아파트,2022-04-11,100,배당종결,0,1,1,1,100,1,70.11,21.21,170.7,51.64,http://img1.speedauction.co.kr/new_gamimg/2022/A02/2021/50915/31957_AUTO_204.jpg,서울 송파구 문정동 1,1171010800,1171064100,서울,송파구,문정동,1,,114동,17.0,1701,서울 송파구 문정로 83,문정래미안아파트,문정로,83,,05794,37.4906216221509,127.130293454812,문정래미안,120.97,2004.0,176,2021,5,20,,2021-05-20,326 days
976,2021-50915(1),아파트,2022-04-11,100,배당종결,0,1,1,1,100,1,70.11,21.21,170.7,51.64,http://img1.speedauction.co.kr/new_gamimg/2022/A02/2021/50915/31957_AUTO_204.jpg,서울 송파구 문정동 1,1171010800,1171064100,서울,송파구,문정동,1,,114동,17.0,1701,서울 송파구 문정로 83,문정래미안아파트,문정로,83,,05794,37.4906216221509,127.130293454812,문정래미안,120.97,2004.0,176,2021,5,20,,2021-05-20,326 days
