,no,case_number,property_type,city,district,neighborhood,address_number,apartment_block,floor,room,apartment_name,full_address,auction_date,percentage,result,auction_count,appraised_value,minimum_bid_price,sale_price,sale_rate,number_of_bidders,land_m2,land_pyung,building_m2,building_pyung,image
849,850,2020-100410(1),아파트,서울특별시,금천구,가산동,141-2,,16.0,1613,,서울특별시 금천구 가산동 141-2외 6필지 가산양우내안애애플 제16층 제1613호,2021-01-20,80,배당종결,1,121000000,96800000,112000000,93,1,2.89,0.87,12.04,3.64,http://img1.speedauction.co.kr/new_gamimg/2020/A04/2020/100410/32654.jpg
850,851,2020-103471(1),아파트,서울특별시,구로구,개봉동,470,106동,13.0,1302,삼환아파트,서울특별시 구로구 개봉동 470 삼환아파트 제106동 제13층 제1302호,2021-01-20,100,배당종결,0,560000000,560000000,681110000,122,22,34.08,10.31,114.48,34.63,http://img1.speedauction.co.kr/new_gamimg/2020/A04/2020/103471/71935.jpg
851,852,2020-103877(1),아파트,서울특별시,영등포구,영등포동,1,,10.0,1006,,서울특별시 영등포구 영등포동1가 75-4 메트로가든 제10층 제1006호,2021-01-20,80,배당종결,1,143000000,114400000,122000000,85,1,4.991,1.51,12.4,3.75,http://img1.speedauction.co.kr/new_gamimg/2020/A04/2020/103877/08388_AUTO_21.jpg
852,853,2020-104269(1),아파트,서울특별시,영등포구,신길동,4937,103동,15.0,1502,,서울특별시 영등포구 신길동 4937 신길뉴타운한화꿈에그린 제103동 제15층 제1502호,2021-01-20,100,배당종결,0,1010000000,1010000000,1200011000,119,5,47.4423,14.35,84.5802,25.59,http://img1.speedauction.co.kr/new_gamimg/2020/A04/2020/104269/37968.jpg
853,854,2019-5891(1),아파트,서울특별시,서대문구,홍은동,277-145,,,01,교수아파트,서울특별시 서대문구 홍은동 277-145 교수아파트 에이동 제지하층 제비01호,2020-12-15,64,배당종결,2,313000000,200320000,241000000,77,4,37.368,11.3,100.44,30.38,http://img1.speedauction.co.kr/new_gamimg/2020/A03/2019/5891/30792.jpg
854,855,2019-6061(1),아파트,서울특별시,은평구,진관동,84,227동,3.0,301,,서울특별시 은평구 진관동 84 은평뉴타운우물골 제227동 제3층 제301호,2020-12-15,100,배당종결,0,705000000,705000000,830100000,118,6,37.368,11.3,101.49,30.7,http://img1.speedauction.co.kr/new_gamimg/2020/A03/2019/6061/194879.jpg
855,856,2019-6061(2),아파트,서울특별시,은평구,진관동,132,424동,13.0,1302,,서울특별시 은평구 진관동 132 은평뉴타운폭포동 제424동 제13층 제1302호,2020-12-15,100,배당종결,0,834000000,834000000,963100000,115,6,37.368,11.3,101.49,30.7,http://img1.speedauction.co.kr/new_gamimg/2020/A03/2019/6061/194874.jpg
856,857,2019-56165(1),아파트,서울특별시,마포구,성산동,114-3,,8.0,801,성일아파트,서울특별시 마포구 성산동 114-3 성일아파트 제8층 제801호,2020-12-15,64,배당종결,2,500000000,320000000,425700000,85,15,26.037,7.88,74.25,22.46,http://img1.speedauction.co.kr/new_gamimg/2020/A03/2019/56165/35179.jpg
857,858,2020-51050(1),아파트,서울특별시,은평구,진관동,84,226동,2.0,201,,서울특별시 은평구 진관동 84 은평뉴타운우물골 제226동 제2층 제201호,2020-12-15,100,배당종결,0,771000000,771000000,892000000,116,13,26.037,7.88,134.63,40.73,http://img1.speedauction.co.kr/new_gamimg/2020/A03/2020/51050/24494_AUTO_601.jpg
858,859,2019-55421(1),아파트,서울특별시,서대문구,홍은동,186-25,,1.0,102,서강아파트,서울특별시 서대문구 홍은동 186-25 서강아파트2차 제1층 제102호,2020-12-08,80,배당종결,1,437000000,349600000,459150000,105,15,57.88,17.51,139.58,42.22,http://img1.speedauction.co.kr/new_gamimg/2020/A03/2019/55421/17753.jpg
859,860,2019-56460(1),아파트,서울특별시,광진구,중곡동,292,101동,3.0,301,에스케이아파트,서울특별시 광진구 중곡동 292 에스케이아파트 제101동 제3층 제301호,2020-12-07,100,배당종결,0,478000000,478000000,567100000,119,4,18.228,5.51,58.43,17.68,http://img1.speedauction.co.kr/new_gamimg/2020/A02/2019/56460/56043_AUTO_566.jpg
860,861,2020-50512(1),아파트,서울특별시,강동구,길동,474,108동,6.0,502,통칭:5층,서울특별시 강동구 길동 474 지에스강동자이아파트 제108동 제6층(통칭:5층) 제502호,2020-12-07,100,배당종결,0,1120000000,1120000000,1265500000,113,6,51.112,15.46,126.43,38.25,http://img1.speedauction.co.kr/new_gamimg/2020/A02/2020/50512/57326_AUTO_581.jpg
861,862,2020-52693(1),아파트,서울특별시,강동구,성내동,468,,14.0,1401,,서울특별시 강동구 성내동 468 현대토파즈 제14층 제1401호,2020-12-07,100,배당종결,0,1220000000,1220000000,1500990000,123,3,62.37,18.87,187.41,56.69,http://img1.speedauction.co.kr/new_gamimg/2020/A02/2020/52693/14136.jpg
862,863,2019-104393(1),아파트,서울특별시,양천구,신월동,987-1,3동,4.0,411,신월시영아파트,서울특별시 양천구 신월동 987-1 신월시영아파트 제3동 제4층 제411호,2020-12-02,100,배당종결,0,300000000,300000000,571230000,190,43,41.81,12.65,43.2,13.07,http://img1.speedauction.co.kr/new_gamimg/2020/A04/2019/104393/122062.jpg
863,864,2020-101123(1),아파트,서울특별시,강서구,화곡동,925-5,,6.0,602,,서울특별시 강서구 화곡동 925-5외 1필지 풍원팰리스 제6층 제602호,2020-12-02,80,배당종결,1,260000000,208000000,225000000,87,2,12.0,3.63,43.8,13.25,http://img1.speedauction.co.kr/new_gamimg/2020/A04/2020/101123/116128.jpg
864,865,2020-102805(1),아파트,서울특별시,강서구,내발산동,672-15,,1.0,103,원다벨라빌아파트,서울특별시 강서구 내발산동 672-15 원다벨라빌아파트 제1층 제103호,2020-12-02,80,배당종결,1,505000000,404000000,405000000,80,1,41.74,12.63,84.0152,25.41,http://img1.speedauction.co.kr/new_gamimg/2020/A04/2020/102805/119943.jpg
865,866,2019-8994(1),아파트,서울특별시,중구,회현동,1,,13.0,1302,,서울특별시 중구 회현동1가 208외 1필지 남산롯데캐슬아이리스 제13층 제102-1302호,2020-12-01,80,배당종결,1,1603000000,1282400000,1518100000,95,7,26.62,8.05,187.44,56.7,http://img1.speedauction.co.kr/new_gamimg/2020/A01/2019/8994/136797.jpg
866,867,2020-100759(1),아파트,서울특별시,서초구,서초동,1311-10,201동,4.0,404,,서울특별시 서초구 서초동 1311-10외 1필지 서초 푸르지오 써밋 제201동 제4층 제404호,2020-12-01,80,배당종결,1,1240000000,992000000,1182000000,95,4,23.185,7.01,52.055,15.75,http://img1.speedauction.co.kr/new_gamimg/2020/A01/2020/100759/18951.jpg
867,868,2019-1233(1),아파트,서울특별시,서대문구,홍은동,281,,7.0,702,로하스아파트,서울특별시 서대문구 홍은동 281 로하스아파트 제7층 제702호,2020-12-01,100,배당종결,0,277000000,277000000,310000000,112,3,31.68,9.58,65.01,19.67,http://img1.speedauction.co.kr/new_gamimg/2020/A03/2019/1233/22286_AUTO_29.jpg
868,869,2019-4171(1),아파트,서울특별시,은평구,갈현동,539,101동,3.0,308,갈현동한솔아파트,서울특별시 은평구 갈현동 539 갈현동한솔아파트 제101동 제3층 제308호,2020-12-01,100,배당종결,0,344000000,344000000,386000000,112,3,40.88,12.37,84.93,25.69,http://img1.speedauction.co.kr/new_gamimg/2020/A03/2019/4171/107288.jpg
869,870,2020-1093(1),아파트,서울특별시,마포구,창전동,449,102동,14.0,1402,,서울특별시 마포구 창전동 449 마포웨스트리버태영데시앙 제102동 제14층 제1402호,2020-12-01,100,배당종결,0,1420000000,1420000000,1582000000,111,5,56.2134,17.0,102.7,31.07,http://img1.speedauction.co.kr/new_gamimg/2020/A03/2020/1093/105334.jpg
